taxon_name	NCBI_ID
Parabacteroides merdae	46503
Bacteroides ovatus	28116
Proteobacteria bacterium CAG 139	1262986
Streptococcus parasanguinis	1318
Veillonella dispar	39778
Veillonella atypica	39777
Veillonella parvula	29466
Haemophilus parainfluenzae	729
Streptococcus salivarius	1304
Dialister invisus	218538
Veillonella sp T11011 6	2027459
Veillonella infantium	1911679
Bacteroides uniformis	820
Bacteroides thetaiotaomicron	818
Bacteroides dorei	357276
Alistipes finegoldii	214856
Streptococcus mitis	28037
Streptococcus infantis	68892
Gemella sanguinis	84135
Olsenella scatoligenes	1299998
Fretibacterium fastidiosum	651822
Rothia mucilaginosa	43675
Actinomyces sp ICM47	936548
Prevotella melaninogenica	28132
Actinomyces sp oral taxon 181	712121
Actinomyces graevenitzii	55565
Prevotella salivae	228604
Prevotella histicola	470565
Oribacterium sinus	237576
Actinomyces sp HMSC035G02	1739406
Veillonella rogosae	423477
Campylobacter concisus	199
Megasphaera micronuciformis	187326
Fusobacterium periodonticum	860
Actinomyces odontolyticus	1660
Atopobium parvulum	1382
Prevotella pallens	60133
Stomatobaculum longum	796942
Leptotrichia wadei	157687
Actinomyces sp S6 Spd3	1284680
Streptococcus thermophilus	1308
Neisseria flavescens	484
Streptococcus oralis	1303
Neisseria subflava	28449
Lachnoanaerobaculum saburreum	467210
Streptococcus sanguinis	1305
Streptococcus australis	113107
Streptococcus gordonii	1302
Leptotrichia sp oral taxon 215	712359
Streptococcus sp F0442	999425
Porphyromonas somerae	322095
Kingella oralis	505
Prevotella sp oral taxon 299	652716
Rothia dentocariosa	2047
Solobacterium moorei	102148
Haemophilus sputorum	1078480
Streptococcus sp HPH0090	1203590
Gemella haemolysans	1379
Streptococcus sp A12	1759399
Leptotrichia sp oral taxon 212	712357
Fusobacterium nucleatum	851
Capnocytophaga leadbetteri	327575
Granulicatella adiacens	46124
Prevotella nigrescens	28133
Streptococcus vestibularis	1343
Streptococcus sp HMSC034E03	1739309
Actinomyces sp HPA0247	1203556
Capnocytophaga gingivalis	1017
Actinomyces oris	544580
Rothia aeria	172042
Haemophilus influenzae	727
Haemophilus quentini	123834
Streptococcus cristatus	45634
Streptococcus mutans	1309
Atopobium rimae	1383
Haemophilus haemolyticus	726
Capnocytophaga granulosa	45242
Neisseria sicca	490
Leptotrichia hofstadii	157688
Cardiobacterium hominis	2718
Capnocytophaga sputigena	1019
Streptococcus sp HMSC071D03	1739341
Streptococcus pseudopneumoniae	257758
Corynebacterium durum	61592
Prevotella pleuritidis	407975
Gemella morbillorum	29391
Lautropia mirabilis	47671
Prevotella sp oral taxon 473	712469
Aggregatibacter sp oral taxon 458	712148
Leptotrichia sp oral taxon 225	671213
Leptotrichia sp oral taxon 498	712368
Actinomyces naeslundii	1655
Haemophilus parahaemolyticus	735
Prevotella oris	28135
Parvimonas micra	33033
Haemophilus paraphrohaemolyticus	736
Corynebacterium matruchotii	43768
Actinomyces sp oral taxon 170	712117
Actinobaculum sp oral taxon 183	712888
Actinomyces massiliensis	461393
Campylobacter gracilis	824
Capnocytophaga sp oral taxon 863	1227265
Eikenella corrodens	539
Cardiobacterium valvarum	194702
