"NCBI","name","oralcavity_genus_prevalence","nasalcavity_genus_prevalence","stool_genus_prevalence"
"   1301","Streptococcus",0.901234567901235,0,0.863407407407407
"  32207","Rothia",0.802469135802469,0,0.322074074074074
"  29465","Veillonella",0.641975308641975,0,0.637333333333333
"    838","Prevotella",0.592592592592593,0,0.309925925925926
"   1378","Gemella",0.592592592592593,0,0.281185185185185
"    482","Neisseria",0.580246913580247,0,0.066962962962963
"    724","Haemophilus",0.506172839506173,0,0.489481481481481
"   1654","Actinomyces",0.45679012345679,0,0.228148148148148
"    836","Porphyromonas",0.432098765432099,0,0.0242962962962963
"1912216","Cutibacterium",0.432098765432099,1,0.142518518518519
"2529408","Schaalia",0.407407407407407,0,0.180444444444444
"    194","Campylobacter",0.395061728395062,0,0.0506666666666667
"    848","Fusobacterium",0.333333333333333,0,0.0340740740740741
"   1716","Corynebacterium",0.320987654320988,1,0.106666666666667
"   1279","Staphylococcus",0.320987654320988,1,0.445333333333333
"2767353","Lancefieldella",0.308641975308642,0,0.0317037037037037
"1283313","Alloprevotella",0.296296296296296,0,0.00325925925925926
"  47670","Lautropia",0.296296296296296,0,0.00177777777777778
" 416916","Aggregatibacter",0.283950617283951,0,0.0121481481481481
"   1016","Capnocytophaga",0.283950617283951,0,0.000592592592592593
" 195950","Tannerella",0.271604938271605,0,0.000592592592592593
" 265975","Oribacterium",0.259259259259259,0,0.00355555555555556
"  32067","Leptotrichia",0.259259259259259,0,0.00325925925925926
"  46123","Abiotrophia",0.259259259259259,0,0.00177777777777778
" 543311","Parvimonas",0.246913580246914,0,0.0118518518518519
"   1257","Peptostreptococcus",0.234567901234568,0,0.0168888888888889
"1164882","Lachnoanaerobaculum",0.234567901234568,0,0.00207407407407407
"  86331","Mogibacterium",0.222222222222222,0,0.0186666666666667
"1213720","Stomatobaculum",0.222222222222222,0,0.00237037037037037
" 123375","Solobacterium",0.222222222222222,0,0.008
"    906","Megasphaera",0.209876543209877,0,0.118518518518519
"    157","Treponema",0.197530864197531,0,0.0142222222222222
" 117563","Granulicatella",0.197530864197531,0,0.00207407407407407
"  32257","Kingella",0.197530864197531,0,0.000296296296296296
" 212742","Morococcus",0.197530864197531,0,0.00118518518518519
"  44259","Filifactor",0.185185185185185,0,0
"   1678","Bifidobacterium",0.185185185185185,0,0.825185185185185
"2801844","Arachnia",0.185185185185185,0,0.000296296296296296
"    970","Selenomonas",0.172839506172839,0,0.00562962962962963
" 196081","Scardovia",0.135802469135802,0,0.0162962962962963
"   2717","Cardiobacterium",0.135802469135802,0,0
"  76833","Actinobaculum",0.135802469135802,0,0.008
"1434006","Fretibacterium",0.123456790123457,0,0.0100740740740741
"   1578","Lactobacillus",0.123456790123457,0,0.179555555555556
"2767327","Fannyhessea",0.111111111111111,0,0.00562962962962963
"     71","Simonsiella",0.111111111111111,0,0
"  43996","Catonella",0.111111111111111,0,0
"    374","Bradyrhizobium",0.111111111111111,0,0.00414814814814815
"  39948","Dialister",0.0987654320987654,0,0.149333333333333
"    538","Eikenella",0.0864197530864197,0,0.00237037037037037
"  40323","Stenotrophomonas",0.0864197530864197,0,0.00918518518518519
"1535326","Candida",0.0740740740740741,0,0.0420740740740741
" 219181","Ottowia",0.0617283950617284,0,0
"    893","Desulfobulbus",0.0493827160493827,0,0
" 102106","Collinsella",0.0493827160493827,0,0.402666666666667
" 216851","Faecalibacterium",0.0493827160493827,0,0.399111111111111
" 572511","Blautia",0.0493827160493827,0,0.422814814814815
" 909656","Phocaeicola",0.0493827160493827,0,0.554074074074074
"    469","Acinetobacter",0.0493827160493827,0,0.0287407407407407
"   2701","Gardnerella",0.0493827160493827,0,0.0082962962962963
"  55193","Malassezia",0.0493827160493827,0,0.00592592592592593
"     75","Caulobacter",0.0493827160493827,0,0.00148148148148148
" 670516","Mycobacteroides",0.0493827160493827,0,0.00118518518518519
"1573535","Holdemanella",0.037037037037037,0,0.0862222222222222
"  33024","Phascolarctobacterium",0.037037037037037,0,0.131259259259259
"2316020","Mediterraneibacter",0.037037037037037,0,0.511407407407407
"  29521","Brachyspira",0.037037037037037,0,0.0201481481481481
"  28050","Lachnospira",0.037037037037037,0,0.286814814814815
"2767887","Ligilactobacillus",0.037037037037037,0,0.0613333333333333
"    561","Escherichia",0.037037037037037,0,0.670222222222222
"    841","Roseburia",0.037037037037037,0,0.371555555555556
"    830","Butyrivibrio",0.037037037037037,0,0.0503703703703704
"2740557","Pauljensenia",0.037037037037037,0,0.000296296296296296
" 158846","Megamonas",0.037037037037037,0,0.0314074074074074
"   1730","Eubacterium",0.0246913580246914,0,0.320592592592593
"   1263","Ruminococcus",0.0246913580246914,0,0.276740740740741
" 189330","Dorea",0.0246913580246914,0,0.280888888888889
"  33042","Coprococcus",0.0246913580246914,0,0.197925925925926
"   1350","Enterococcus",0.0246913580246914,0,0.514666666666667
" 204475","Gemmiger",0.0246913580246914,0,0.198518518518519
"    570","Klebsiella",0.0246913580246914,1,0.354666666666667
"2742598","Limosilactobacillus",0.0246913580246914,0,0.0847407407407407
" 156454","Anaeroglobus",0.0246913580246914,0,0.010962962962963
"    475","Moraxella",0.0246913580246914,0,0.00681481481481482
"   1269","Micrococcus",0.0246913580246914,0,0.00562962962962963
"  41275","Brevundimonas",0.0246913580246914,0,0.000592592592592593
" 150022","Finegoldia",0.0246913580246914,0,0.0607407407407407
"  13687","Sphingomonas",0.0246913580246914,0,0.00118518518518519
" 133925","Olsenella",0.0123456790123457,0,0.00711111111111111
"  84108","Slackia",0.0123456790123457,0,0.114666666666667
"    816","Bacteroides",0.0123456790123457,0,0.617481481481482
"  13334","Anaerobiospirillum",0.0123456790123457,0,0.0168888888888889
"1905344","Ruthenibacterium",0.0123456790123457,0,0.245333333333333
"    283","Comamonas",0.0123456790123457,0,0.00948148148148148
"    898","Desulfomicrobium",0.0123456790123457,0,0
"1279384","Eggerthia",0.0123456790123457,0,0.000888888888888889
" 239934","Akkermansia",0.0123456790123457,0,0.210074074074074
" 165779","Anaerococcus",0.0123456790123457,0,0.048
